#Frame      Dih_00001    Dih_00002
       1     157.4845    -156.5323
       2    -177.3231    -160.8645
       3     169.1724    -151.1231
       4     171.8004    -162.9865
       5    -179.6934    -154.9005
       6     155.8748    -163.8657
       7     151.0558    -176.5328
       8    -172.7991    -141.2435
       9     169.7295    -168.0988
      10     161.2188    -153.5431
      11     165.1615    -168.8372
      12     158.3177    -161.9336
      13     154.0527    -162.7878
      14    -178.9726    -173.0892
      15     159.3862     -51.1267
      16     162.8201    -162.6905
      17     151.3245     179.7722
      18     171.4311    -148.1323
      19     150.6658    -166.8185
      20     145.0325    -162.4443
      21     162.7163    -163.1376
      22     166.9965    -158.1678
      23     154.5973    -169.7578
      24     163.4676    -170.6500
      25     151.6642    -164.0436
      26     160.3385    -149.9648
      27     155.3141    -152.8546
      28     163.3642    -172.7446
      29    -173.5768     -88.0006
      30     146.2908    -177.6633
      31     168.2806    -160.6079
      32     150.9551    -166.4274
      33     161.7121    -177.5699
      34     156.1854     167.6970
      35     165.8726    -172.1012
      36     160.6163    -157.4327
      37     164.2729    -157.9718
      38     154.4567    -146.4992
      39     163.0500    -147.2016
      40     162.7987     165.8420
      41     176.0173    -124.9811
      42     158.6098    -135.8095
      43     170.9342    -150.6875
      44     165.8664    -158.9901
      45     168.4046    -164.3789
      46     155.3984    -177.0492
      47     165.3759    -149.8967
      48     155.0436     168.9970
      49     158.6565    -156.5546
      50     156.7486    -163.5349
      51     168.3057    -162.1699
      52     177.8564    -171.6102
      53     159.4293    -164.9285
      54     155.7896    -157.4471
      55     167.2023    -152.0976
      56     163.1429    -165.9159
      57     168.2989    -150.6903
      58     149.6962     172.5099
      59     159.4740    -171.1063
      60     156.7850    -162.2311
      61     174.1145    -154.0780
      62     159.7507    -153.7555
      63     167.7110    -149.1988
      64     172.5546    -164.3067
      65     155.1925    -161.5429
      66     162.3162    -175.4855
      67     157.9639    -168.4299
      68     162.3235    -131.2374
      69     164.3652    -165.6498
      70    -178.6419    -146.8179
      71     165.5299    -177.8612
      72     169.2933    -172.6821
      73     159.5314     172.8847
      74     163.2605    -165.5278
      75     169.7321    -170.4285
      76     158.4395    -176.2608
      77     160.6710    -161.0175
      78     159.3212    -165.5293
      79     136.0581    -174.1896
      80     179.4213    -133.7869
      81     149.6259    -174.0682
      82     153.1472    -154.1731
      83     162.1479    -177.4723
      84     148.5140     170.6018
      85     160.2585    -166.9329
      86     163.9815    -179.4523
      87     152.2088    -166.1143
      88     154.2307    -163.0363
      89     134.8648    -170.5796
      90     156.2660    -169.7295
      91     166.7109    -136.8006
      92     164.2663    -132.4918
      93     171.9991    -179.1966
      94    -176.6033    -137.3425
      95     161.3981    -163.2455
      96     172.9106    -167.6405
      97     172.8018    -177.3079
      98    -179.5346    -155.7132
      99     168.1952    -158.0050
     100     169.1457    -159.1069
     101     159.6226    -163.5690
     102     156.0305    -156.4750
     103     162.2774    -150.7390
     104     156.9844    -177.4399
     105     148.3322    -177.3317
     106     173.8048    -159.1156
     107     177.6966    -165.2044
     108     162.6128    -166.7346
     109     148.7481    -153.6379
     110     154.9609    -162.9722
     111     175.6309    -149.5037
     112     161.4211     179.5357
     113     167.5461    -147.5581
     114     165.4648    -134.4445
     115     166.0593    -178.2674
     116     164.2663    -132.4918
     117     155.1481    -140.5382
     118     147.1270    -172.6730
     119     161.6250    -160.9740
     120     175.8338    -166.4822
     121     161.7780    -167.4968
     122     162.5816     174.2306
     123     157.3578    -160.1923
     124     147.5992     169.1707
     125     169.7996    -170.5077
     126     166.6023    -156.7065
     127     154.4192    -174.5376
     128     171.8520    -177.9323
     129     157.4465    -164.4423
     130     162.5804    -170.8172
     131     166.9141    -146.9238
     132     167.1880    -167.9264
     133     158.7503    -177.8384
     134     163.4644    -166.3644
     135     156.1939    -172.5087
     136     168.2398    -170.0464
     137     169.4960    -156.6476
     138     149.2016     159.1610
     139     167.1605    -168.3008
     140     167.2785    -161.3487
     141     168.0878    -133.2174
     142     174.5158    -170.5779
     143     172.5316    -160.3219
     144     157.9147    -153.7098
     145     162.2518    -168.8734
     146     168.7906    -162.0042
     147     173.1201    -165.8028
     148     167.2976    -160.0205
     149     149.9945    -170.9276
     150     147.2577    -165.9865
     151     161.3858    -166.5531
     152     152.0033    -179.9200
     153     141.5203    -166.7906
     154     154.5824    -163.8717
     155     162.6625    -151.9903
     156     167.7765     173.7570
     157     157.2813    -169.6085
     158     163.9335    -177.2956
     159     156.1231    -155.7896
     160     178.0433    -178.4253
     161     159.4989    -154.6865
     162     158.3423    -161.1483
     163     151.7257    -173.0449
     164     159.6855    -160.7685
     165     173.0281     177.1964
     166     174.9610    -141.9240
     167     148.2053     177.3676
     168     173.8941    -165.7352
     169     160.8821    -152.4343
     170     159.4520    -145.2846
     171     163.0375    -148.3979
     172     151.6031    -165.7297
     173     163.2312    -168.1458
     174     158.1079    -148.2076
     175    -175.3486     -37.2129
     176     157.0666    -155.1351
     177     156.5305    -176.3920
     178     166.1251    -171.6609
     179     155.5574     178.7850
     180     160.3580    -175.7417
     181     169.5311    -179.9035
     182     162.5029    -175.7513
     183     178.3803    -166.6354
     184     166.6563    -167.3764
     185     152.9523    -166.6911
     186     163.2156    -173.1219
     187     174.2704    -167.1404
     188     159.1081    -157.6771
     189     160.6953    -156.2846
     190     151.3967    -174.8443
     191     166.1813    -174.6697
     192     164.3281    -167.1072
     193     161.3044    -159.8350
     194     168.0227    -166.1252
     195     171.8391     175.4611
     196     162.0187    -165.6772
     197     149.3663    -176.7589
     198     150.7048    -170.9076
     199     173.8963    -160.6536
     200     158.3026    -146.6750
     201     176.1548    -154.8997
     202     171.8590    -164.7251
     203     179.8628    -155.1892
     204     168.5390    -160.1450
     205     166.1742    -156.5580
     206     179.0958    -148.4584
     207     157.9195    -171.9619
     208     165.3051    -167.1921
     209     166.0697    -165.9494
     210     171.5099    -148.7714
     211     161.7912     160.5953
     212     161.6599    -166.2441
     213     160.3663    -154.8019
     214     170.1671    -170.4755
     215     162.8526    -151.8035
     216     172.5231    -140.7637
     217     155.7765     172.2155
     218     156.9507    -163.5970
     219     155.4754    -150.0325
     220     165.3040    -176.5286
     221     172.8291    -165.6887
     222     175.7772    -153.1037
     223     151.1054    -150.1796
     224     175.0220    -155.5713
     225     171.3954     175.7003
     226     152.3084    -172.2141
     227     160.0447     167.0111
     228     158.7475    -178.2468
     229     156.1079    -163.6828
     230     168.7368    -152.9595
     231     170.2486    -151.0233
     232     178.2472    -169.1568
     233     148.2615    -148.2636
     234     169.0323     170.3776
     235     155.4535    -171.7096
     236     155.9560    -173.2963
     237     153.7144    -167.9454
     238     169.7173    -173.5159
     239     161.1471    -167.5369
     240     171.9487    -171.3261
     241     152.6513     166.1056
     242     179.5189    -160.8628
     243     160.4173    -170.2549
     244     170.7485    -178.4778
     245     165.6723     173.5871
     246     164.0166    -162.7911
     247     155.0643    -158.1106
     248     164.7151     177.2756
     249     169.6983    -170.4512
     250     158.0613    -174.1686
     251     173.4252    -155.2619
     252     170.0946    -140.2688
     253     155.1305    -168.1219
     254    -163.5273     -62.5372
     255     170.2601    -168.6402
     256     174.8138    -158.8403
     257     157.2500    -153.3255
     258     175.5620    -140.1156
     259     165.1959    -152.7872
     260     165.3797    -170.5906
     261     164.9426     173.3134
     262     155.4929    -170.8757
     263     172.0054    -164.6860
     264     156.8421    -170.0307
     265     169.7430    -166.0059
     266     164.2647    -160.5795
     267     153.3091    -153.8484
     268     177.8586    -162.5058
     269     162.8449    -168.9569
     270     148.0672     172.1256
     271     154.4899    -174.1583
     272     152.2419    -175.0618
     273     168.0282    -175.0443
     274     153.7978    -147.0199
     275     153.4620    -162.2690
     276     177.8008    -155.4859
     277     168.3882    -158.4915
     278     159.9700    -155.4478
     279     167.2363     172.4555
     280     168.2646    -177.6780
     281     169.1022    -163.8252
     282     176.9094    -159.6214
     283     150.0235     169.6618
     284     156.6972    -156.3129
     285     146.1458    -162.9284
     286     161.0295    -166.6259
     287    -176.9436    -161.0368
     288     152.5015    -173.8088
     289     164.6923    -170.5688
     290     161.2322    -148.2395
     291     154.6344    -167.9106
     292    -162.5295    -160.9612
     293     159.2171    -176.7609
     294     174.0145    -161.5411
     295     163.1962    -163.7138
     296     169.6460    -157.6950
     297     155.2197    -174.8193
     298     157.9701    -176.6200
     299     177.9763    -166.8421
     300     161.2298    -160.7291
     301     170.8313    -168.6957
     302     144.3818    -170.1653
     303     178.5233    -148.6849
     304     167.6084     177.3972
     305     153.9927    -166.7489
     306     169.0607     174.0470
     307     161.3676    -162.7823
     308     161.3081    -176.4275
     309     163.8704    -171.6466
     310     157.3935    -158.4586
     311     170.5223    -157.7980
     312     158.8955    -166.7241
     313     154.1419    -166.8578
     314     161.6330     179.7838
     315     164.3325    -169.0963
     316     162.2226     175.0376
     317     161.5470    -172.5360
     318     160.5385    -158.6375
     319     163.6488     176.7682
     320     172.4558    -146.5635
     321     167.6445     176.1507
     322     177.8235    -148.3040
     323     170.9029    -170.9911
     324     174.0107    -164.7516
     325     165.4002    -145.3717
     326     165.1762    -156.8444
     327     174.1094    -167.6702
     328     153.7083    -177.7428
     329     159.5091    -170.4494
     330     167.3763    -166.9900
     331     163.3860    -155.0595
     332     161.9638    -173.5950
     333     150.2632    -144.1673
     334     163.9919    -148.1014
     335     162.0708    -151.9354
     336     152.8148    -167.9740
     337     143.7743    -176.2969
     338     175.8891    -157.0841
     339     152.2373    -159.2481
     340     162.2154    -176.8438
     341     172.8867    -178.1361
     342     157.5939    -162.6568
     343     158.9839    -172.6025
     344    -175.0522     -74.5614
     345     173.7595    -149.3675
     346     159.4643    -154.3523
     347     175.3007     -59.2436
     348     165.3083    -152.4227
     349     151.6931    -175.8352
     350     153.1307    -172.7115
     351     158.0910    -170.3208
     352     168.0966    -160.8032
     353     173.6122    -121.0319
     354     163.3832    -163.4892
     355     147.3294    -153.0466
     356     155.5299    -174.7970
     357     159.8892    -166.4114
     358     156.3043    -172.6883
     359     174.0337    -149.3877
     360     147.4117    -145.2366
     361     151.3515     177.9527
     362     161.7339    -167.1291
     363     154.6702    -137.7451
     364     158.3318    -170.5148
     365     148.9333    -164.6385
     366     160.1573    -154.2695
     367    -178.7696    -155.8679
     368     159.0213    -162.7610
     369     160.6570    -173.6857
     370     152.6097    -158.0677
     371     162.9397    -173.8030
     372     152.0352    -157.9725
     373     171.0981    -148.9676
     374     164.9428    -173.2221
     375     147.8681    -174.3014
     376     149.7812    -175.9036
     377     170.5538    -141.2912
     378     166.8907    -153.7055
     379    -179.9684    -161.8616
     380     172.3915    -164.4419
     381     166.4533    -161.0451
     382     172.1347    -165.6596
     383     154.1714    -156.9067
     384     160.5732    -162.1757
     385    -171.2011    -149.3909
     386     171.0399    -164.1162
     387    -179.8137    -154.8269
     388     152.0250    -166.0835
     389     161.2941    -144.6831
     390     161.5043    -164.4933
     391    -172.3363     -39.1446
     392     158.3588    -179.8901
     393     149.9708    -157.0560
     394     144.4534    -161.6581
     395     169.8930    -153.7487
     396     151.6864    -164.6546
     397     164.7804    -158.9075
     398     158.2065    -160.0939
     399     158.5231    -169.5979
     400     154.8365     170.1377
     401     174.6210    -175.6996
     402     171.8139     173.2173
     403     155.6665    -168.9123
     404    -177.7356    -158.6766
     405     161.2662    -155.8645
     406     161.9004    -176.1152
     407     164.9303    -153.8723
     408     155.6048    -158.9620
     409     161.3398    -161.0842
     410     155.4370    -157.0701
     411     160.4517    -165.9768
     412    -175.8376    -144.3190
     413    -177.0638    -152.7793
     414     144.6943    -169.5978
     415     166.8314    -173.2050
     416     167.2654    -155.6860
     417     153.3680    -135.9950
     418     165.5079    -164.8357
     419     168.6195     -69.6103
     420     157.8288    -174.0006
     421     173.4232    -167.4153
     422     162.4322    -164.7819
     423     160.6493    -167.7821
     424     155.7772    -179.1455
     425     162.0187    -160.0740
     426    -170.1862    -161.6201
     427     164.1333    -169.7663
     428     173.8914    -140.7997
     429     166.7558    -142.4207
     430     163.6427    -146.1677
     431     154.4132    -167.7954
     432     170.9712    -166.7218
     433     152.9750    -150.5822
     434     172.5024    -152.5868
     435     166.0479    -153.6242
     436     157.3290     173.5260
     437    -170.7048    -136.4357
     438     162.9493    -147.1638
     439     142.3089    -167.9216
     440     154.4635     156.3745
     441     172.8960    -138.4681
     442     161.6342    -170.0059
     443     162.6311    -168.6866
     444     169.9757    -160.2126
     445     160.6082    -155.4877
     446     142.2963    -168.8707
     447     172.7116    -155.1579
     448     160.1103    -162.1746
     449     164.3641    -132.9888
     450     170.3481    -162.7561
     451     161.2022    -140.1185
     452     162.6709    -167.5689
     453     164.9450    -165.5587
     454     152.7445    -173.6060
     455     160.0054    -174.1217
     456     164.6038    -157.0912
     457     165.7470    -165.8000
     458     178.0036    -156.4567
     459     169.4683    -161.2332
     460     159.8662    -179.0284
     461     160.6399    -164.0130
     462     163.6807    -158.2216
     463     162.1868    -170.0329
     464     152.5364    -176.2557
     465     170.1320    -169.7575
     466     152.9161    -154.3350
     467     172.6016    -173.0022
     468     154.4644     178.1542
     469     173.0930    -166.2735
     470     168.5952    -148.1323
     471     151.0458    -177.1657
     472     161.7130    -147.4875
     473    -165.1713     -51.0565
     474     173.8033    -156.8679
     475     158.6359    -164.8587
     476     155.6498    -178.7557
     477     160.9578     174.7564
     478     166.2863    -155.7205
     479     168.3937    -144.8286
     480     168.2349    -166.0257
     481     171.7215    -151.0837
     482     164.4335    -175.5492
     483     171.0787    -154.7748
     484     156.9782    -161.5751
     485     162.5722    -170.5259
     486     157.6298    -177.6367
     487     150.5507    -163.2640
     488     163.9912    -148.5660
     489     150.0771     174.7855
     490     156.3191    -169.1438
     491     160.2455    -163.5734
     492     176.3156    -143.3912
